Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
126,9M4RTA,147.4,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
127,9M4RBF,145.7875,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
128,9M4RAS,145.7,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
129,9M4RBT,147,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
130,9M4RTE,146.625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
131,9M4RBE,145.575,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
132,9M4RBG,145,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
133,9M4RBJ,147.8,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
134,9M4RTK,146.75,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
135,9M4RSC,146.6,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
136,9M4RST,147.7375,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
137,9M4RNT,147.975,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
138,9M4RAC,146.675,-,0.6,Tone,85.4,85.4,23,NN,FM,5,,,,,,
139,KELANT,446.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
140,9M4RKY,147.6125,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
141,9M4RKH,436.35,-,5,Tone,203.5,203.5,23,NN,FM,12.5,,,,,,
142,9M4RTG,147.6125,-,0.6,Tone,100,100,23,NN,FM,5,,,,,,
143,9M4RDB,147.7375,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
144,9M4RNK,147.6375,-,0.6,Tone,67,67,23,NN,FM,5,,,,,,
145,9M4RBP,146.7,-,0.6,Tone,85.4,85.4,23,NN,FM,5,,,,,,
146,9M4RPT,147.15,-,0.6,Tone,67,67,23,NN,FM,5,,,,,,
147,9M4RTJ,146.9,-,0.6,Tone,167.9,167.9,23,NN,FM,5,,,,,,
148,9M4RPS,147.825,-,0.6,Tone,97.4,97.4,23,NN,FM,5,,,,,,
149,9M4RDD,146.6375,-,0.6,Tone,186.2,186.2,23,NN,FM,5,,,,,,
150,9M4RAB,147.7125,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
151,9M4RVA,145.675,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
152,9M4RKN,147.7625,-,0.6,Tone,131.8,131.8,23,NN,FM,5,,,,,,
153,9M4RGT,147.65,-,0.6,Tone,67,67,23,NN,FM,5,,,,,,
154,PENANG,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
155,9M2RBB,147.95,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
156,9M4RBB,145.7375,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
157,9M4RPP,439.525,-,5,Tone,203.5,203.5,23,NN,FM,5,,,,,,
158,9M4RPH,147.825,-,0.6,Tone,203.5,88.5,23,NN,FM,5,,,,,,
159,KEDAH,145.7,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
160,9M4RPN,145.375,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
161,9M4RBD,146.625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
162,9M4RLJ,147.6125,-,0.6,Tone,85.4,85.4,23,NN,FM,5,,,,,,
163,9M4RGJ,147.675,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
164,9M4RJR,146.2625,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
165,9M4RKG,145.525,-,0.6,Tone,85.4,85.4,23,NN,FM,5,,,,,,
166,9M2RMK,147.98,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
167,9M4RHP,147.15,-,0.65,Tone,103.5,103.5,23,NN,FM,5,,,,,,
