Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
45,9M4RJM,146.900000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJM near GUNUNG TIONG, None OPEN",,,,
46,9M4RML,439.440000,-,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RML near BUKIT BERUANG, None OPEN",,,,
47,9M4RCD,147.700000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCD near BUKIT PELINDUNG, None OPEN",,,,
48,9M4RCC,145.600000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCC near BUKIT FRASER, None OPEN",,,,
49,9M4RBI,147.800000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBI near BUKIT IBAM, None OPEN",,,,
50,9M4RCE,146.100000,+,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCE near BUKIT SULAI, None OPEN",,,,
51,9M4RCY,145.712500,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RCY near TEMERLOH, None OPEN",,,,
52,9M4RBW,146.312500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBW near BUKIT ANDRASY, None OPEN",,,,
53,9M4RLB,147.750000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLB near GUNUNG KINABALU, None OPEN",,,,
54,9M4RLX,144.225000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLX near KOTA MARUDU, None OPEN",,,,
55,9M4RTY,147.237500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RTY near TRIG HILL, SANDAKAN, None OPEN",,,,
56,"Kolej Vokasional Tawau, Sabah",146.712500,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RKT near Tawau, None OPEN",,,,
57,Bukit Lawa Mandau,439.150000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RSB near Kota Kinabalu, None OPEN MARTS Repeater Linking Network",,,,
58,9M4RSW,145.712500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSW near KOTA KINABALU, None OPEN",,,,
59,9M4CTR,147.650000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4CTR near TUARAN, None OPEN",,,,
60,9M4RTL,147.950000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTL near TG LOBANG, MIRI, None OPEN",,,,
61,9M4RGA,147.800000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGA near GUNUNG AMPUNGAN, SERIAN, None OPEN",,,,
62,9M4BHR,147.850000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4BHR near BORNEO HIGHLANDS, None OPEN",,,,
63,9M4RHW,147.100000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RHW near THE GRAND OLD LADY, MIRI, None OPEN",,,,
64,9M4RRB,147.912500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RRB near PANDANGAN INDAH, None OPEN",,,,
65,9M4RSK,146.987500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSK near SUNGAI KEJAR, ROYAL BELUM, PERAK, None OPEN",,,,
66,9M4RKH,146.612500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RKH near BUKIT BAKAR, None OPEN",,,,
67,9M4RPP,439.525000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"9M4RPP near BUKIT BENDERA, None OPEN",,,,
68,BUKIT LARUT,146.612500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RLT near BUKIT LARUT, None OPEN",,,,
69,BUKIT LARUT,146.850000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLT-L near BUKIT LARUT, None OPEN",,,,
70,9M4RMR,146.925000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RMR near MUAR, None OPEN",,,,
71,9M4RBK,147.612500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBK near BUKIT KLEDANG, None OPEN",,,,
72,9M4RTH,147.862500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RTH near TAPAH, None OPEN",,,,
73,9M4RUB,144.725000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RUB near SETIAWAN, None OPEN",,,,
74,9M4RGB,147.925000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGB near GUNUNG BERINCANG, None OPEN",,,,
75,9M4RGJ,147.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGJ near GUNUNG JERAI, None OPEN",,,,
76,9M4RLJ,147.612500,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RLJ near GUNUNG JERAI, None OPEN",,,,
77,9M4RBB,145.737500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBB near Penang Hill, None OPEN",,,,
78,9M4RBD,146.625000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBD near BUKIT DEDAP, None OPEN",,,,
79,9M4RKG,145.525000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RKG near GUNUNG KERIANG, None OPEN",,,,
80,9M4RSP,146.812500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSP near LENGGONG, None OPEN",,,,
81,9M4RVB,146.812500,-,0.500000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RVB near LEBUHRAYA TIMUR BARAT, None OPEN",,,,
82,Kayangan Hill,434.875000,+,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPS near Bentong, None OPEN",,,,
83,9M4RJR-C4FM,147.700000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"9M4RJR-C4FM near GUNUNG JERAI, None OPEN",,,,
84,Gunung Bintang,439.675000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RXA near Sedim, None OPEN",,,,
85,Bukit Larut,439.575000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RXB near Taiping, None OPEN",,,,
86,Bukit Panchor,439.475000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M4RXC near Bandar Baharu, None OPEN",,,,
87,9M4RAB,147.712500,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RAB near Bachok, None OPEN",,,,
88,Bukit Kemuning,145.787500,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBF near Kijal, None OPEN",,,,
89,9M4RBJ,147.800000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBJ near Marang, None OPEN",,,,
90,9M4RAC,146.675000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RAC near Besut, None OPEN",,,,
91,9M4RBP,146.700000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBP near Tanah Merah, None OPEN",,,,
92,9M4RTM,146.850000,-,0.600000,Tone,167.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTM near Tanah Merah, None OPEN",,,,
93,9M4RDD,146.637500,-,0.600000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RDD near Pasir Mas, None OPEN",,,,
94,9M4RGT,147.650000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGT near Tumpat, None OPEN",,,,
95,9M4RVA,145.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RVA near Kota Bharu, None OPEN",,,,
96,9M2RKL-L1,439.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKL-L1 near BUKIT LANJAN, None OPEN",,,,
97,9M4RBZ,145.087500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBZ near Sipitang, Sabah, None OPEN",,,,
98,9M4RHP,147.800000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RHP near Bukit Tunjung, Beseri, Perlis, None OPEN",,,,
99,Bandar Segamat,439.725000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M4RSE near Segamat, None OPEN",,,,
100,9M4RKK,146.975000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RKK near TUARAN, None Open",,,,
101,9M4RTD,146.750000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTD near MARANG, None OPEN",,,,
